CarParkID,latitude,longitude
J40,1.3500297,103.7228784
J41,1.3482895,103.7220323
J43,1.3479249,103.7252685
J44,1.3468476,103.7246365
J45,1.3489852,103.7267854
J46,1.3497541,103.7190584
J47,1.3502575,103.7180208
J48,1.3521728,103.7184799
J49,1.3534558,103.7189495
J49M,1.3537826,103.7196760
J5,1.3383145,103.7424182
J50,1.3537072,103.7225209
J51,1.3535561,103.7246295
J52,1.3514608,103.7247228
J53,1.3507410,103.7267264
J54,1.3499266,103.7245099
J55,1.3486373,103.7242909
J56,1.3348926,103.7393111
J57,1.3339761,103.7391199
J57L,1.3344676,103.7398580
J6,1.3390681,103.7388514
J60L,1.3497546,103.7178723
J60M,1.3493549,103.7179010
J61,1.3400768,103.6884249
J62,1.3408898,103.6854076
J62M,1.3398730,103.6865554
J63,1.3417793,103.6864428
J64,1.3444733,103.7318524
J65,1.3427705,103.6892958
J66,1.3412980,103.6911289
J67,1.3416440,103.6927623
J68M,1.3420559,103.6919225
J69,1.3396874,103.6936407
J7,1.3415439,103.7380331
J70,1.3436870,103.6935087
J71,1.3462276,103.6941744
J72,1.3472673,103.6977338
J73,1.3439954,103.6982221
J74,1.3426646,103.6961123
J74M,1.3428451,103.6968539
J75M,1.3441945,103.6931174
J76M,1.3443283,103.6945711
J77M,1.3474454,103.6985606
J78M,1.3415659,103.6951233
J79M,1.3465011,103.6949388
J8,1.3404302,103.7415740
J8M,1.3406470,103.7424265
J80M,1.3455473,103.7009695
J81M,1.3495915,103.7001773
J82M,1.3458500,103.6924501
J83M,1.3502207,103.6950644
J84M,1.3477247,103.6964786
J85M,1.3499772,103.6962349
J86M,1.3499623,103.6990901
J88M,1.3416793,103.7072062
J89M,1.3423753,103.7059008
J9,1.3421224,103.7420009
J90,1.3415471,103.7474601
J91,1.3375372,103.7441051
J92,1.3375578,103.7468564
J93,1.3392410,103.7451402
J94,1.3396923,103.7431661
J95,1.3401003,103.7470869
J96,1.3415186,103.7449583
J97,1.3424013,103.7459464
J98M,1.3397788,103.6968570
J99M,1.3397333,103.6960430
KAM,1.2819551,103.8432994
KAML,1.2823302,103.8432576
KAS,1.2805721,103.8427729
KBM,1.3202393,103.8691246
KBRM,1.3137177,103.8743164
KB1,1.3235736,103.8689003
KB10,1.3189033,103.8635926
KB11,1.3205827,103.8637220
KB12,1.3191062,103.8615866
KB14,1.3205577,103.8700619
KB17,1.3176641,103.8629102
KB18,1.3227033,103.8657335
KB20,1.3237495,103.8664426
KB3,1.3208280,103.8696551
